timeStemp,Label,Dist_mm_1,Dist_mm_2,Dist_mm_3,Dist_mm_4,RSSI_1,RSSI_2,RSSI_3,RSSI_4,Std_mm_1,Std_mm_2,Std_mm_3,Std_mm_4
665587982,1-1,4194.0,7485.0,-264.0,10518.0,-61.0,-71.0,-47.0,-64.0,1008.0,2018.0,1431.0,1037.0
665586058,1-1,4116.0,9155.0,-391.0,10674.0,-61.0,-71.0,-43.0,-63.0,1147.0,1243.0,1468.0,1109.0
665588330,1-1,,8833.0,,,,-71.0,,,,1353.0,,
665589258,1-1,4077.0,6987.0,-303.0,10557.0,-61.0,-71.0,-47.0,-64.0,1052.0,2293.0,1490.0,1074.0
665584184,1-1,4424.0,6694.0,-391.0,10635.0,-55.0,-71.0,-46.0,-64.0,969.0,2250.0,1672.0,980.0
665584928,1-1,4116.0,8305.0,-381.0,10596.0,-60.0,-71.0,-47.0,-64.0,1007.0,1765.0,1564.0,1040.0
665589511,1-1,4038.0,8745.0,-381.0,10518.0,-61.0,-72.0,-48.0,-63.0,1116.0,1530.0,1418.0,1033.0
665586884,1-1,4038.0,6841.0,-303.0,10479.0,-60.0,-71.0,-47.0,-63.0,1115.0,2292.0,1493.0,1350.0
665583439,1-1,4233.0,7046.0,-391.0,10596.0,-60.0,-71.0,-47.0,-64.0,881.0,2088.0,1517.0,1119.0
665587924,1-1,4116.0,8598.0,-264.0,10440.0,-60.0,-71.0,-47.0,-64.0,1032.0,1541.0,1404.0,1093.0
665587718,1-1,4077.0,9301.0,-342.0,10635.0,-61.0,-71.0,-47.0,-65.0,1107.0,798.0,1487.0,1013.0
665585582,1-1,3999.0,7632.0,-381.0,10518.0,-61.0,-71.0,-47.0,-64.0,1151.0,2102.0,1534.0,997.0
665585477,1-1,4038.0,7778.0,-684.0,10674.0,-61.0,-71.0,-43.0,-64.0,1204.0,1834.0,1679.0,991.0
665585841,1-1,4077.0,8530.0,-381.0,10713.0,-61.0,-71.0,-48.0,-63.0,1095.0,1513.0,1495.0,1047.0
665585927,1-1,4116.0,8891.0,-303.0,10557.0,-61.0,-71.0,-47.0,-64.0,1119.0,1410.0,1483.0,1126.0
665583492,1-1,4077.0,6841.0,-264.0,10713.0,-60.0,-71.0,-46.0,-64.0,1083.0,2312.0,1404.0,987.0
665589065,1-1,4155.0,6870.0,-303.0,10596.0,-61.0,-71.0,-47.0,-64.0,1003.0,2355.0,1509.0,1050.0
665584814,1-1,3960.0,8891.0,-303.0,10791.0,-61.0,-71.0,-47.0,-62.0,1137.0,1657.0,1455.0,1175.0
665584493,1-1,4077.0,6928.0,-381.0,10635.0,-60.0,-72.0,-47.0,-64.0,1039.0,2265.0,1548.0,1052.0
665583887,1-1,3999.0,6841.0,-105.0,10674.0,-61.0,-71.0,-43.0,-64.0,1104.0,2098.0,1280.0,1127.0
665588357,1-1,4116.0,8833.0,-342.0,10557.0,-61.0,-71.0,-47.0,-64.0,1045.0,1464.0,1470.0,1045.0
665585712,1-1,4038.0,8745.0,-303.0,10674.0,-61.0,-71.0,-48.0,-64.0,1192.0,1487.0,1511.0,1041.0
665589301,1-1,4038.0,6899.0,-488.0,10596.0,-60.0,-71.0,-44.0,-64.0,1055.0,1832.0,1594.0,1029.0
