Mode: Fusion | Features: RSSI(4) + RTT(4)
Model Input Dimension: 8
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
169    | 5.1311     | 0.4015     | 4.2579     | 0.3154     | 0.1563     | 0.0911       | 0.1354       |             | 0.9133   | 0.226  
170    | 5.2444     | 0.4063     | 4.3685     | 0.3140     | 0.1555     | 0.0970       | 0.1399       |             | 0.8689   | 0.237  
171    | 5.1931     | 0.3853     | 4.3573     | 0.2972     | 0.1532     | 0.1097       | 0.1463       |             | 0.7886   | 0.256  
172    | 5.2003     | 0.3467     | 4.3790     | 0.3182     | 0.1565     | 0.1083       | 0.1240       |             | 0.7683   | 0.232  
173    | 4.9703     | 0.3621     | 4.1564     | 0.2954     | 0.1565     | 0.0971       | 0.1371       |             | 0.7952   | 0.234  
174    | 5.0361     | 0.3777     | 4.1742     | 0.3213     | 0.1629     | 0.0884       | 0.1691       |             | 0.7824   | 0.257  
175    | 5.1760     | 0.3859     | 4.3046     | 0.3162     | 0.1693     | 0.0908       | 0.1229       |             | 0.8192   | 0.214  
176    | 5.2574     | 0.3939     | 4.3741     | 0.3139     | 0.1755     | 0.0924       | 0.1266       |             | 0.8780   | 0.219  
177    | 5.1851     | 0.4198     | 4.2713     | 0.3156     | 0.1784     | 0.0869       | 0.1201       |             | 0.8698   | 0.207  
178    | 5.0187     | 0.3472     | 4.1923     | 0.3069     | 0.1724     | 0.0958       | 0.1423       |             | 0.8218   | 0.238  
179    | 4.9477     | 0.3495     | 4.1364     | 0.2981     | 0.1638     | 0.0812       | 0.1416       |             | 0.8043   | 0.223  
180    | 5.0249     | 0.3460     | 4.2257     | 0.2854     | 0.1677     | 0.0859       | 0.1090       |             | 0.8546   | 0.195  
181    | 5.1308     | 0.3508     | 4.3084     | 0.3069     | 0.1647     | 0.0952       | 0.1254       |             | 0.8612   | 0.221  
182    | 5.3330     | 0.3902     | 4.4599     | 0.3126     | 0.1705     | 0.0920       | 0.1305       |             | 0.7501   | 0.223  
183    | 5.3722     | 0.3894     | 4.5020     | 0.3110     | 0.1697     | 0.0841       | 0.1316       |             | 0.7583   | 0.216  
184    | 5.1168     | 0.3621     | 4.2777     | 0.3137     | 0.1634     | 0.0811       | 0.1162       |             | 0.7804   | 0.197  
185    | 5.0749     | 0.3636     | 4.2515     | 0.2935     | 0.1664     | 0.0855       | 0.1354       |             | 0.8445   | 0.221  
186    | 5.0605     | 0.3683     | 4.2341     | 0.2971     | 0.1610     | 0.0814       | 0.1201       |             | 0.7904   | 0.202  
187    | 4.9476     | 0.3260     | 4.1661     | 0.2936     | 0.1618     | 0.0770       | 0.1629       |             | 0.7745   | 0.240  
188    | 5.2031     | 0.3578     | 4.3518     | 0.3185     | 0.1750     | 0.0851       | 0.1330       |             | 0.8598   | 0.218  
189    | 5.3535     | 0.4204     | 4.4259     | 0.3355     | 0.1717     | 0.0671       | 0.1562       |             | 0.8581   | 0.223  
190    | 5.3799     | 0.3780     | 4.5040     | 0.3250     | 0.1728     | 0.0709       | 0.1620       |             | 0.8781   | 0.233  
191    | 5.3145     | 0.3869     | 4.4415     | 0.3167     | 0.1694     | 0.0654       | 0.1603       |             | 0.8861   | 0.226  
192    | 5.2501     | 0.3792     | 4.3959     | 0.3042     | 0.1707     | 0.0762       | 0.1231       |             | 0.9327   | 0.199  
193    | 5.2768     | 0.3488     | 4.4414     | 0.3158     | 0.1709     | 0.0665       | 0.1406       |             | 0.9193   | 0.207  
194    | 5.2581     | 0.3333     | 4.4607     | 0.3050     | 0.1590     | 0.0644       | 0.1274       |             | 0.8909   | 0.192  
195    | 5.2761     | 0.3693     | 4.4304     | 0.3101     | 0.1663     | 0.0788       | 0.1593       |             | 0.9045   | 0.238  
196    | 5.1164     | 0.3318     | 4.3204     | 0.3011     | 0.1631     | 0.0783       | 0.1335       |             | 0.8803   | 0.212  
197    | 5.1480     | 0.3514     | 4.3492     | 0.2859     | 0.1614     | 0.0904       | 0.1377       |             | 0.8648   | 0.228  
198    | 5.0782     | 0.3638     | 4.2636     | 0.2878     | 0.1631     | 0.0869       | 0.1187       |             | 0.9460   | 0.206  
