==========================================
Experiment: FusionDANN_1_2_3_4
RSSI Features (6): Fixed
RTT Features (4): ['Dist_mm_1', 'Dist_mm_2', 'Dist_mm_3', 'Dist_mm_4']
==========================================
Start Training Seed 42...

Start Training... (Validate on Source Val & Target Val)
Epoch  | Total Loss | Train Cls  | Train D_RSSI | Train D_RTT | Val S Acc  | Val T Entropy | Save        | Test MDE | Score  
183    | 2.5859     | 0.2006     | 1.2056       | 1.1796      | 0.9927     | 0.5701     |             | 0.9228   | 0.708  
184    | 2.5710     | 0.2120     | 1.1833       | 1.1757      | 0.9938     | 0.5861     |             | 0.9335   | 0.701  
185    | 2.5722     | 0.1938     | 1.2173       | 1.1612      | 0.9938     | 0.6169     |             | 0.8970   | 0.685  
186    | 2.5986     | 0.2091     | 1.2406       | 1.1489      | 0.9917     | 0.5981     |             | 0.9108   | 0.693  
187    | 2.6286     | 0.2340     | 1.2159       | 1.1787      | 0.9927     | 0.5591     | (ADV 0.71)  | 0.9001   | 0.713  
188    | 2.6184     | 0.2291     | 1.2040       | 1.1853      | 0.9938     | 0.6072     |             | 0.8744   | 0.690  
189    | 2.5768     | 0.1998     | 1.1944       | 1.1827      | 0.9948     | 0.6242     |             | 0.9090   | 0.683  
190    | 2.5776     | 0.2105     | 1.2036       | 1.1635      | 0.9948     | 0.5814     |             | 0.9422   | 0.704  
191    | 2.5799     | 0.2140     | 1.2034       | 1.1625      | 0.9927     | 0.6100     |             | 0.9076   | 0.688  
192    | 2.5414     | 0.2025     | 1.2122       | 1.1267      | 0.9948     | 0.5994     |             | 0.9022   | 0.695  
193    | 2.6061     | 0.2005     | 1.2364       | 1.1691      | 0.9917     | 0.6016     |             | 0.8545   | 0.691  
194    | 2.6009     | 0.1900     | 1.2516       | 1.1593      | 0.9938     | 0.6002     |             | 0.8498   | 0.694  
195    | 2.6885     | 0.2186     | 1.2773       | 1.1927      | 0.9948     | 0.6159     |             | 0.8720   | 0.687  
196    | 2.7144     | 0.2409     | 1.2635       | 1.2101      | 0.9927     | 0.5943     |             | 0.8308   | 0.696  
197    | 2.6610     | 0.1810     | 1.2648       | 1.2151      | 0.9948     | 0.5951     |             | 0.8482   | 0.697  
198    | 2.6982     | 0.2278     | 1.2601       | 1.2103      | 0.9927     | 0.6013     |             | 0.8885   | 0.692  
199    | 2.6626     | 0.2275     | 1.2329       | 1.2023      | 0.9938     | 0.5947     |             | 0.8579   | 0.696  
200    | 2.6671     | 0.2030     | 1.2584       | 1.2057      | 0.9938     | 0.5925     |             | 0.9025   | 0.698  
201    | 2.7015     | 0.2090     | 1.2831       | 1.2094      | 0.9927     | 0.5673     |             | 0.8759   | 0.709  
202    | 2.7220     | 0.2143     | 1.2886       | 1.2192      | 0.9927     | 0.5738     |             | 0.8821   | 0.706  
203    | 2.6626     | 0.2192     | 1.2397       | 1.2038      | 0.9927     | 0.5639     |             | 0.8692   | 0.711  
